durée des essais (ms),Décours temporel des essais(ms),Décours temporel du signal stop (ms),stop,RT (GO),SSRT
2250,2250,2250,stop,644,144
2250,4500,,,445,
2250,6750,,,650,
2250,9000,9000,stop,0,
2250,11250,11250,stop,637,137
2250,13500,,,747,
2250,15750,15750,stop,607,157
2250,18000,,,424,
2250,20250,,,458,
2250,22500,22500,stop,0,
2250,24750,,,665,
2250,27000,,,446,
2250,29250,,,783,
2250,31500,31500,stop,0,
2250,33750,,,432,
2250,36000,,,449,
2250,38250,,,799,
2250,40500,,,808,
2250,42750,,,416,
2250,45000,,,883,
2250,47250,,,411,
2250,49500,49500,stop,778,278
2250,51750,,,1182,
2250,54000,,,1147,
2250,56250,,,0,
2250,58500,,,435,
2250,60750,,,700,
2250,63000,,,992,
2250,65250,65250,stop,0,
2250,67500,,,431,
2250,69750,,,577,
2250,72000,,,450,
2250,74250,,,447,
2250,76500,76500,stop,647,147
2250,78750,,,471,
2250,81000,,,797,
2250,83250,83250,stop,0,
2250,85500,85500,stop,643,143
2250,87750,,,461,
2250,90000,,,449,
2250,92250,,,437,
2250,94500,,,344,
2250,96750,,,516,
2250,99000,99000,stop,611,161
2250,101250,,,534,
2250,103500,,,578,
2250,105750,,,502,
2250,108000,108000,stop,508,108
2250,110250,,,529,
2250,112500,,,626,
2250,114750,,,600,
2250,117000,117000,stop,0,
2250,119250,,,449,
2250,121500,,,630,
2250,123750,,,578,
2250,126000,,,707,
2250,128250,,,674,
2250,130500,130500,stop,0,
2250,132750,,,352,
2250,135000,,,667,
2250,137250,,,655,
2250,139500,139500,stop,648,198
2250,141750,,,611,
2250,144000,,,823,
10000,154000,,,,
2250,156250,,,435,
2250,158500,158500,stop,562,162
2250,160750,,,545,
2250,163000,,,572,
2250,165250,,,652,
2250,167500,167500,stop,0,
2250,169750,,,1051,
2250,172000,,,407,
2250,174250,174250,stop,0,
2250,176500,,,478,
2250,178750,,,550,
2250,181000,,,699,
2250,183250,,,656,
2250,185500,,,702,
2250,187750,,,740,
2250,190000,190000,stop,0,
2250,192250,,,448,
2250,194500,,,770,
2250,196750,,,709,
2250,199000,,,478,
2250,201250,,,353,
2250,203500,,,717,
2250,205750,205750,stop,687,187
2250,208000,,,577,
2250,210250,,,733,
2250,212500,,,672,
2250,214750,,,614,
2250,217000,,,705,
2250,219250,,,1009,
2250,221500,,,663,
2250,223750,,,894,
2250,226000,,,823,
2250,228250,228250,stop,0,
2250,230500,,,413,
2250,232750,,,596,
2250,235000,235000,stop,0,
2250,237250,237250,stop,745,195
2250,239500,,,585,
2250,241750,,,812,
2250,244000,,,752,
2250,246250,,,824,
2250,248500,,,737,
2250,250750,,,784,
2250,253000,,,787,
2250,255250,255250,stop,637,137
2250,257500,257500,stop,636,186
2250,259750,,,573,
2250,262000,,,504,
2250,264250,,,702,
2250,266500,266500,stop,0,
2250,268750,268750,stop,673,223
2250,271000,,,895,
2250,273250,,,709,
2250,275500,,,700,
2250,277750,,,655,
2250,280000,,,758,
2250,282250,,,575,
2250,284500,,,738,
2250,286750,286750,stop,569,169
2250,289000,289000,stop,0,
2250,291250,,,430,
2250,293500,293500,stop,0,
2250,295750,295750,stop,621,171
2250,298000,,,723,
10000,308000,,,,
2250,310250,310250,stop,0,
2250,312500,,,591,
2250,314750,,,685,
2250,317000,,,802,
2250,319250,,,652,
2250,321500,,,827,
2250,323750,,,835,
2250,326000,,,1045,
2250,328250,328250,stop,0,
2250,330500,330500,stop,655,155
2250,332750,,,541,
2250,335000,,,722,
2250,337250,,,815,
2250,339500,,,798,
2250,341750,,,517,
2250,344000,344000,stop,0,
2250,346250,346250,stop,690,190
2250,348500,,,708,
2250,350750,,,992,
2250,353000,353000,stop,0,
2250,355250,,,810,
2250,357500,357500,stop,0,
2250,359750,359750,stop,798,248
2250,362000,,,721,
2250,364250,,,792,
2250,366500,,,1132,
2250,368750,,,935,
2250,371000,371000,stop,618,118
2250,373250,,,771,
2250,375500,375500,stop,0,
2250,377750,,,597,
2250,380000,,,743,
2250,382250,,,919,
2250,384500,,,1086,
2250,386750,,,808,
2250,389000,389000,stop,0,
2250,391250,,,896,
2250,393500,,,955,
2250,395750,395750,stop,776,226
2250,398000,,,479,
2250,400250,,,583,
2250,402500,,,812,
2250,404750,,,727,
2250,407000,,,937,
2250,409250,,,711,
2250,411500,,,633,
2250,413750,,,868,
2250,416000,,,1153,
2250,418250,,,756,
2250,420500,,,559,
2250,422750,,,708,
2250,425000,,,728,
2250,427250,,,574,
2250,429500,,,730,
2250,431750,431750,stop,666,166
2250,434000,,,376,
2250,436250,436250,stop,633,183
2250,438500,,,579,
2250,440750,,,922,
2250,443000,,,762,
2250,445250,,,802,
2250,447500,447500,stop,0,
2250,449750,,,448,
2250,452000,452000,stop,0,
10000,462000,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
