durée des essais (ms),Décours temporel des essais(ms),Décours temporel du signal stop (ms),stop,RT (GO),SSRT
2250,2250,2250,stop,0,
2250,4500,,,731,
2250,6750,,,675,
2250,9000,9000,stop,739,189
2250,11250,,,615,
2250,13500,,,707,
2250,15750,,,666,
2250,18000,18000,stop,0,
2250,20250,20250,stop,437,287
2250,22500,,,722,
2250,24750,,,891,
2250,27000,,,639,
2250,29250,,,685,
2250,31500,,,525,
2250,33750,33750,stop,0,
2250,36000,,,637,
2250,38250,,,645,
2250,40500,,,574,
2250,42750,,,627,
2250,45000,,,511,
2250,47250,,,593,
2250,49500,,,637,
2250,51750,,,642,
2250,54000,54000,stop,0,
2250,56250,,,491,
2250,58500,,,549,
2250,60750,,,693,
2250,63000,,,612,
2250,65250,,,743,
2250,67500,,,711,
2250,69750,,,849,
2250,72000,,,640,
2250,74250,,,607,
2250,76500,76500,stop,0,
2250,78750,,,0,
2250,81000,,,548,
2250,83250,83250,stop,0,
2250,85500,85500,stop,0,
2250,87750,,,652,
2250,90000,,,538,
2250,92250,92250,stop,0,
2250,94500,,,560,
2250,96750,,,726,
2250,99000,,,871,
2250,101250,,,780,
2250,103500,,,906,
2250,105750,105750,stop,677,277
2250,108000,108000,stop,0,
2250,110250,110250,stop,838,438
2250,112500,,,620,
2250,114750,114750,stop,0,
2250,117000,,,579,
2250,119250,,,749,
2250,121500,,,871,
2250,123750,,,721,
2250,126000,126000,stop,0,
2250,128250,128250,stop,0,
2250,130500,,,737,
2250,132750,,,712,
2250,135000,,,740,
2250,137250,,,734,
2250,139500,,,755,
2250,141750,,,939,
2250,144000,,,1155,
10000,154000,,,,
2250,156250,,,0,
2250,158500,,,473,
2250,160750,,,557,
2250,163000,,,537,
2250,165250,,,612,
2250,167500,167500,stop,548,48
2250,169750,169750,stop,0,
2250,172000,172000,stop,468,-32
2250,174250,,,754,
2250,176500,,,1066,
2250,178750,,,535,
2250,181000,181000,stop,633,183
2250,183250,,,1060,
2250,185500,185500,stop,0,
2250,187750,,,416,
2250,190000,,,774,
2250,192250,,,880,
2250,194500,,,697,
2250,196750,,,902,
2250,199000,199000,stop,0,
2250,201250,,,506,
2250,203500,,,674,
2250,205750,205750,stop,0,
2250,208000,,,801,
2250,210250,210250,stop,0,
2250,212500,,,516,
2250,214750,,,779,
2250,217000,,,1029,
2250,219250,,,694,
2250,221500,221500,stop,474,-126
2250,223750,,,613,
2250,226000,,,688,
2250,228250,,,843,
2250,230500,,,606,
2250,232750,,,688,
2250,235000,,,602,
2250,237250,,,797,
2250,239500,239500,stop,0,
2250,241750,241750,stop,685,85
2250,244000,,,861,
2250,246250,,,784,
2250,248500,,,804,
2250,250750,,,831,
2250,253000,,,0,
2250,255250,,,654,
2250,257500,,,698,
2250,259750,,,0,
2250,262000,262000,stop,438,-112
2250,264250,264250,stop,759,259
2250,266500,266500,stop,0,
2250,268750,,,874,
2250,271000,,,634,
2250,273250,,,658,
2250,275500,275500,stop,870,370
2250,277750,,,781,
2250,280000,,,692,
2250,282250,,,770,
2250,284500,,,724,
2250,286750,286750,stop,0,
2250,289000,,,550,
2250,291250,,,654,
2250,293500,,,663,
2250,295750,,,791,
2250,298000,,,915,
10000,308000,,,966,
2250,310250,,,530,
2250,312500,,,648,
2250,314750,,,741,
2250,317000,317000,stop,601,101
2250,319250,,,564,
2250,321500,,,1028,
2250,323750,323750,stop,423,-27
2250,326000,,,650,
2250,328250,,,1107,
2250,330500,,,808,
2250,332750,,,796,
2250,335000,,,764,
2250,337250,,,486,
2250,339500,,,453,
2250,341750,,,535,
2250,344000,,,545,
2250,346250,,,819,
2250,348500,,,862,
2250,350750,,,655,
2250,353000,,,543,
2250,355250,,,592,
2250,357500,,,662,
2250,359750,,,629,
2250,362000,,,844,
2250,364250,,,944,
2250,366500,,,960,
2250,368750,368750,stop,0,
2250,371000,,,532,
2250,373250,373250,stop,515,65
2250,375500,,,643,
2250,377750,,,822,
2250,380000,380000,stop,523,123
2250,382250,,,0,
2250,384500,384500,stop,433,83
2250,386750,,,546,
2250,389000,389000,stop,0,
2250,391250,,,952,
2250,393500,393500,stop,0,
2250,395750,,,448,
2250,398000,,,714,
2250,400250,,,755,
2250,402500,402500,stop,480,80
2250,404750,404750,stop,1225,875
2250,407000,,,794,
2250,409250,,,804,
2250,411500,,,1170,
2250,413750,,,686,
2250,416000,,,856,
2250,418250,,,910,
2250,420500,420500,stop,0,
2250,422750,,,416,
2250,425000,,,1118,
2250,427250,427250,stop,658,308
2250,429500,,,802,
2250,431750,431750,stop,0,
2250,434000,434000,stop,355,5
2250,436250,436250,stop,1109,809
2250,438500,,,681,
2250,440750,,,665,
2250,443000,,,587,
2250,445250,,,833,
2250,447500,447500,stop,0,
2250,449750,,,617,
