durée des essais (ms),Décours temporel des essais(ms),Décours temporel du signal stop (ms),stop,RT (GO),SSRT
2250,2250,,,874,
2250,4500,,,447,
2250,6750,,,403,
2250,9000,,,511,
2250,11250,11250,stop,528,128
2250,13500,13500,stop,0,
2250,15750,15750,stop,0,
2250,18000,,,805,
2250,20250,,,802,
2250,22500,,,622,
2250,24750,24750,stop,0,
2250,27000,,,961,
2250,29250,,,766,
2250,31500,,,778,
2250,33750,,,429,
2250,36000,36000,stop,0,
2250,38250,,,1026,
2250,40500,40500,stop,702,152
2250,42750,,,986,
2250,45000,,,1011,
2250,47250,,,960,
2250,49500,,,900,
2250,51750,,,1033,
2250,54000,,,965,
2250,56250,,,981,
2250,58500,,,966,
2250,60750,,,875,
2250,63000,,,802,
2250,65250,65250,stop,0,
2250,67500,,,998,
2250,69750,,,0,
2250,72000,,,438,
2250,74250,,,887,
2250,76500,,,412,
2250,78750,,,680,
2250,81000,81000,stop,776,226
2250,83250,,,1013,
2250,85500,,,902,
2250,87750,87750,stop,0,
2250,90000,,,440,
2250,92250,,,640,
2250,94500,,,789,
2250,96750,,,886,
2250,99000,,,426,
2250,101250,101250,stop,0,
2250,103500,103500,stop,0,
2250,105750,,,456,
2250,108000,,,880,
2250,110250,110250,stop,817,167
2250,112500,,,1069,
2250,114750,,,950,
2250,117000,117000,stop,0,
2250,119250,,,1185,
2250,121500,121500,stop,861,211
2250,123750,,,697,
2250,126000,,,418,
2250,128250,,,430,
2250,130500,130500,stop,760,160
2250,132750,,,971,
2250,135000,,,891,
2250,137250,,,420,
2250,139500,139500,stop,756,206
2250,141750,,,433,
2250,144000,,,906,
10000,154000,,,,
2250,156250,156250,stop,0,
2250,158500,158500,stop,778,228
2250,160750,160750,stop,0,
2250,163000,163000,stop,0,
2250,165250,,,1032,
2250,167500,,,956,
2250,169750,,,1017,
2250,172000,,,725,
2250,174250,,,422,
2250,176500,,,426,
2250,178750,,,798,
2250,181000,,,839,
2250,183250,183250,stop,780,180
2250,185500,,,688,
2250,187750,,,656,
2250,190000,,,453,
2250,192250,,,769,
2250,194500,,,802,
2250,196750,,,726,
2250,199000,,,811,
2250,201250,,,1059,
2250,203500,203500,stop,0,
2250,205750,205750,stop,0,
2250,208000,,,1188,
2250,210250,,,913,
2250,212500,,,449,
2250,214750,,,609,
2250,217000,,,447,
2250,219250,,,430,
2250,221500,,,511,
2250,223750,223750,stop,794,144
2250,226000,,,816,
2250,228250,,,892,
2250,230500,,,793,
2250,232750,,,677,
2250,235000,,,782,
2250,237250,,,875,
2250,239500,,,979,
2250,241750,,,419,
2250,244000,244000,stop,0,
2250,246250,,,898,
2250,248500,,,843,
2250,250750,,,435,
2250,253000,,,428,
2250,255250,,,809,
2250,257500,257500,stop,801,151
2250,259750,,,1125,
2250,262000,,,1154,
2250,264250,,,594,
2250,266500,,,450,
2250,268750,,,543,
2250,271000,,,563,
2250,273250,273250,stop,728,128
2250,275500,,,884,
2250,277750,277750,stop,0,
2250,280000,,,964,
2250,282250,282250,stop,0,
2250,284500,284500,stop,802,152
2250,286750,,,1107,
2250,289000,289000,stop,704,104
2250,291250,,,1180,
2250,293500,293500,stop,0,
2250,295750,,,927,
2250,298000,,,1004,
10000,308000,,,,
2250,310250,310250,stop,0,
2250,312500,,,1199,
2250,314750,,,928,
2250,317000,,,1076,
2250,319250,,,1097,
2250,321500,,,1197,
2250,323750,323750,stop,825,175
2250,326000,326000,stop,0,
2250,328250,328250,stop,0,
2250,330500,,,995,
2250,332750,,,1192,
2250,335000,,,0,
2250,337250,,,832,
2250,339500,,,912,
2250,341750,,,841,
2250,344000,,,758,
2250,346250,,,822,
2250,348500,348500,stop,878,178
2250,350750,350750,stop,855,205
2250,353000,,,1011,
2250,355250,355250,stop,0,
2250,357500,,,1115,
2250,359750,359750,stop,0,
2250,362000,,,910,
2250,364250,,,1114,
2250,366500,,,1074,
2250,368750,,,702,
2250,371000,371000,stop,857,157
2250,373250,,,928,
2250,375500,375500,stop,839,189
2250,377750,,,576,
2250,380000,380000,stop,0,
2250,382250,,,960,
2250,384500,,,1005,
2250,386750,,,1093,
2250,389000,389000,stop,861,211
2250,391250,,,1150,
2250,393500,,,1183,
2250,395750,395750,stop,814,214
2250,398000,398000,stop,0,
2250,400250,,,942,
2250,402500,402500,stop,0,
2250,404750,,,708,
2250,407000,,,997,
2250,409250,,,890,
2250,411500,,,986,
2250,413750,,,1051,
2250,416000,,,923,
2250,418250,,,940,
2250,420500,,,772,
2250,422750,,,680,
2250,425000,,,841,
2250,427250,,,953,
2250,429500,,,718,
2250,431750,,,470,
2250,434000,434000,stop,0,
2250,436250,,,970,
2250,438500,,,906,
2250,440750,,,1038,
2250,443000,,,867,
2250,445250,,,860,
2250,447500,,,1028,
2250,449750,,,1176,
2250,452000,,,620,
10000,462000,,,,
