durée des essais (ms),Décours temporel des essais(ms),Décours temporel du signal stop (ms),stop,RT (GO),SSRT 
2250,2250,,,446,
2250,4500,,,412,
2250,6750,,,479,
2250,9000,,,468,
2250,11250,11250,stop,420,170
2250,13500,,,754,
2250,15750,,,436,
2250,18000,,,628,
2250,20250,,,557,
2250,22500,,,486,
2250,24750,,,743,
2250,27000,,,460,
2250,29250,29250,stop,0,
2250,31500,31500,stop,0,
2250,33750,33750,stop,407,107
2250,36000,36000,stop,482,232
2250,38250,,,629,
2250,40500,40500,stop,0,
2250,42750,,,606,
2250,45000,,,414,
2250,47250,47250,stop,464,214
2250,49500,49500,stop,0,
2250,51750,,,720,
2250,54000,,,763,
2250,56250,,,651,
2250,58500,58500,stop,489,239
2250,60750,,,574,
2250,63000,63000,stop,0,
2250,65250,,,421,
2250,67500,,,584,
2250,69750,69750,stop,0,
2250,72000,,,467,
2250,74250,74250,stop,487,187
2250,76500,,,657,
2250,78750,,,595,
2250,81000,,,439,
2250,83250,,,446,
2250,85500,85500,stop,0,
2250,87750,87750,stop,0,
2250,90000,,,424,
2250,92250,,,693,
2250,94500,,,430,
2250,96750,,,676,
2250,99000,,,414,
2250,101250,,,683,
2250,103500,,,667,
2250,105750,,,461,
2250,108000,,,674,
2250,110250,,,455,
2250,112500,,,480,
2250,114750,,,560,
2250,117000,117000,stop,0,
2250,119250,,,597,
2250,121500,,,888,
2250,123750,,,676,
2250,126000,,,845,
2250,128250,,,941,
2250,130500,,,1021,
2250,132750,,,865,
2250,135000,,,759,
2250,137250,,,764,
2250,139500,139500,stop,0,
2250,141750,,,497,
2250,144000,,,837,
10000,154000,,,,
2250,156250,156250,stop,591,141
2250,158500,,,735,
2250,160750,,,508,
2250,163000,,,457,
2250,165250,,,458,
2250,167500,,,570,
2250,169750,,,451,
2250,172000,172000,stop,594,194
2250,174250,,,460,
2250,176500,,,498,
2250,178750,,,445,
2250,181000,181000,stop,551,201
2250,183250,,,535,
2250,185500,,,461,
2250,187750,,,438,
2250,190000,190000,stop,0,
2250,192250,,,549,
2250,194500,,,471,
2250,196750,,,434,
2250,199000,199000,stop,600,250
2250,201250,,,740,
2250,203500,,,526,
2250,205750,,,982,
2250,208000,208000,stop,447,147
2250,210250,,,510,
2250,212500,,,436,
2250,214750,214750,stop,0,
2250,217000,,,478,
2250,219250,,,783,
2250,221500,221500,stop,0,
2250,223750,223750,stop,462,112
2250,226000,,,687,
2250,228250,228250,stop,0,
2250,230500,230500,stop,0,
2250,232750,,,450,
2250,235000,,,681,
2250,237250,237250,stop,0,
2250,239500,,,923,
2250,241750,241750,stop,0,
2250,244000,,,922,
2250,246250,,,1134,
2250,248500,,,422,
2250,250750,,,827,
2250,253000,,,687,
2250,255250,255250,stop,0,
2250,257500,,,588,
2250,259750,,,746,
2250,262000,,,1005,
2250,264250,,,1090,
2250,266500,,,1088,
2250,268750,268750,stop,0,
2250,271000,,,473,
2250,273250,,,711,
2250,275500,,,830,
2250,277750,,,907,
2250,280000,280000,stop,797,197
2250,282250,,,703,
2250,284500,,,662,
2250,286750,,,682,
2250,289000,,,610,
2250,291250,,,676,
2250,293500,,,667,
2250,295750,,,721,
2250,298000,,,696,
10000,308000,,,,
2250,310250,310250,stop,757,207
2250,312500,,,625,
2250,314750,,,746,
2250,317000,,,506,
2250,319250,,,702,
2250,321500,,,492,
2250,323750,,,413,
2250,326000,,,419,
2250,328250,328250,stop,667,167
2250,330500,330500,stop,655,205
2250,332750,,,652,
2250,335000,,,667,
2250,337250,337250,stop,0,
2250,339500,,,736,
2250,341750,,,1012,
2250,344000,344000,stop,0,
2250,346250,346250,stop,674,174
2250,348500,,,518,
2250,350750,,,756,
2250,353000,,,720,
2250,355250,,,664,
2250,357500,,,695,
2250,359750,,,547,
2250,362000,362000,stop,668,218
2250,364250,364250,stop,508,108
2250,366500,,,0,
2250,368750,368750,stop,494,144
2250,371000,,,794,
2250,373250,,,530,
2250,375500,,,697,
2250,377750,,,614,
2250,380000,,,845,
2250,382250,,,648,
2250,384500,,,429,
2250,386750,,,782,
2250,389000,,,718,
2250,391250,,,453,
2250,393500,,,417,
2250,395750,,,424,
2250,398000,398000,stop,0,
2250,400250,400250,stop,0,
2250,402500,402500,stop,0,
2250,404750,,,982,
2250,407000,,,560,
2250,409250,409250,stop,693,243
2250,411500,,,716,
2250,413750,,,1086,
2250,416000,,,1134,
2250,418250,,,1004,
2250,420500,,,922,
2250,422750,,,888,
2250,425000,,,433,
2250,427250,,,1055,
2250,429500,,,1095,
2250,431750,,,765,
2250,434000,,,808,
2250,436250,,,671,
2250,438500,438500,stop,0,
2250,440750,440750,stop,558,108
2250,443000,443000,stop,535,135
2250,445250,,,826,
2250,447500,,,438,
2250,449750,,,437,
2250,452000,,,434,
