durée des essais (ms),Décours temporel des essais(ms),Décours temporel du signal stop (ms),stop,rtRT (go),SSRT
2250,2250,,,640,
2250,4500,,,829,
2250,6750,6750,stop,0,
2250,9000,,,516,
2250,11250,,,600,
2250,13500,13500,stop,0,
2250,15750,,,1011,
2250,18000,18000,stop,0,
2250,20250,,,449,
2250,22500,,,806,
2250,24750,,,847,
2250,27000,27000,stop,0,
2250,29250,,,685,
2250,31500,,,1038,
2250,33750,33750,stop,0,
2250,36000,,,553,
2250,38250,,,1081,
2250,40500,40500,stop,0,
2250,42750,,,584,
2250,45000,,,853,
2250,47250,,,0,
2250,49500,,,536,
2250,51750,,,852,
2250,54000,,,1016,
2250,56250,,,1053,
2250,58500,,,764,
2250,60750,,,0,
2250,63000,63000,stop,0,
2250,65250,65250,stop,688,88
2250,67500,67500,stop,0,
2250,69750,,,1023,
2250,72000,,,0,
2250,74250,,,461,
2250,76500,,,978,
2250,78750,,,714,
2250,81000,81000,stop,0,
2250,83250,,,549,
2250,85500,,,706,
2250,87750,,,830,
2250,90000,,,842,
2250,92250,,,1147,
2250,94500,,,859,
2250,96750,,,940,
2250,99000,,,684,
2250,101250,,,789,
2250,103500,,,949,
2250,105750,105750,stop,0,
2250,108000,,,535,
2250,110250,,,680,
2250,112500,112500,stop,909,209
2250,114750,,,825,
2250,117000,,,889,
2250,119250,,,837,
2250,121500,,,778,
2250,123750,,,1083,
2250,126000,,,839,
2250,128250,,,1079,
2250,130500,130500,stop,0,
2250,132750,,,690,
2250,135000,135000,stop,0,
2250,137250,137250,stop,661,-89
2250,139500,139500,stop,841,141
2250,141750,,,946,
2250,144000,,,1010,
10000,154000,,,,
2250,156250,,,1052,
2250,158500,158500,stop,656,6
2250,160750,,,925,
2250,163000,,,734,
2250,165250,,,730,
2250,167500,,,1111,
2250,169750,,,0,
2250,172000,,,0,
2250,174250,,,0,
2250,176500,176500,stop,486,-114
2250,178750,178750,stop,0,
2250,181000,,,985,
2250,183250,,,906,
2250,185500,,,978,
2250,187750,,,1062,
2250,190000,,,903,
2250,192250,,,795,
2250,194500,,,0,
2250,196750,196750,stop,0,
2250,199000,199000,stop,682,32
2250,201250,,,1023,
2250,203500,203500,stop,0,
2250,205750,,,649,
2250,208000,,,758,
2250,210250,,,1171,
2250,212500,212500,stop,0,
2250,214750,,,801,
2250,217000,,,1061,
2250,219250,,,790,
2250,221500,,,1067,
2250,223750,,,1163,
2250,226000,,,0,
2250,228250,,,613,
2250,230500,230500,stop,774,74
2250,232750,,,1126,
2250,235000,235000,stop,0,
2250,237250,,,709,
2250,239500,,,970,
2250,241750,241750,stop,0,
2250,244000,,,885,
2250,246250,,,1241,
2250,248500,,,1161,
2250,250750,,,1182,
2250,253000,,,0,
2250,255250,,,0,
2250,257500,257500,stop,0,
2250,259750,,,833,
2250,262000,,,1046,
2250,264250,264250,stop,0,
2250,266500,266500,stop,765,-85
2250,268750,,,725,
2250,271000,,,1113,
2250,273250,,,0,
2250,275500,275500,stop,942,142
2250,277750,277750,stop,939,189
2250,280000,280000,stop,0,
2250,282250,,,1225,
2250,284500,,,850,
2250,286750,,,0,
2250,289000,,,0,
2250,291250,,,0,
2250,293500,,,1236,
2250,295750,,,1208,
2250,298000,,,0,
10000,308000,,,,
2250,310250,,,0,
2250,312500,312500,stop,479,-271
2250,314750,314750,stop,580,-120
2250,317000,,,901,
2250,319250,,,1193,
2250,321500,,,1241,
2250,323750,323750,stop,890,240
2250,326000,326000,stop,0,
2250,328250,,,869,
2250,330500,,,1037,
2250,332750,,,0,
2250,335000,,,1016,
2250,337250,337250,stop,0,
2250,339500,,,855,
2250,341750,,,1183,
2250,344000,,,0,
2250,346250,346250,stop,0,
2250,348500,,,550,
2250,350750,,,847,
2250,353000,,,1095,
2250,355250,,,0,
2250,357500,,,0,
2250,359750,,,0,
2250,362000,362000,stop,0,
2250,364250,364250,stop,735,-65
2250,366500,366500,stop,0,
2250,368750,,,866,
2250,371000,,,0,
2250,373250,,,1064,
2250,375500,,,0,
2250,377750,377750,stop,0,
2250,380000,,,774,
2250,382250,,,1043,
2250,384500,,,1224,
2250,386750,,,1244,
2250,389000,389000,stop,0,
2250,391250,391250,stop,0,
2250,393500,,,600,
2250,395750,,,745,
2250,398000,,,817,
2250,400250,,,1074,
2250,402500,,,0,
2250,404750,,,1027,
2250,407000,,,1144,
2250,409250,,,0,
2250,411500,,,0,
2250,413750,,,0,
2250,416000,,,0,
2250,418250,,,0,
2250,420500,,,0,
2250,422750,,,0,
2250,425000,,,1067,
2250,427250,,,0,
2250,429500,,,0,
2250,431750,431750,stop,0,
2250,434000,,,738,
2250,436250,,,855,
2250,438500,,,1155,
2250,440750,,,1160,
2250,443000,443000,stop,984,-16
2250,445250,445250,stop,837,-113
2250,447500,447500,stop,865,-35
2250,449750,,,814,
2250,452000,,,1094,
10000,462000,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
